City,Year,Month,PM2.5,AQI
Ahmedabad,2016,1,127.64,355.0
Ahmedabad,2016,2,127.64,355.0
Ahmedabad,2016,3,127.64,355.0
Ahmedabad,2016,4,127.64,355.0
Ahmedabad,2016,5,127.64,355.0
Ahmedabad,2016,6,115.018,345.53333333333336
Ahmedabad,2016,7,38.74741935483871,316.6774193548387
Ahmedabad,2016,8,48.138064516129035,314.64516129032256
Ahmedabad,2016,9,39.425666666666665,220.43333333333334
Ahmedabad,2016,10,107.83903225806452,323.48387096774195
Ahmedabad,2016,11,177.95433333333332,365.8
Ahmedabad,2016,12,176.02,361.0
Bengaluru,2016,1,67.89451612903225,134.32258064516128
Bengaluru,2016,2,69.80413793103448,143.89655172413794
Bengaluru,2016,3,63.097096774193545,145.58064516129033
Bengaluru,2016,4,40.667,122.0
Bengaluru,2016,5,36.119032258064514,67.87096774193549
Bengaluru,2016,6,23.298333333333336,67.1
Bengaluru,2016,7,24.449354838709677,110.38709677419355
Bengaluru,2016,8,29.70741935483871,64.41935483870968
Bengaluru,2016,9,31.389666666666663,72.33333333333333
Bengaluru,2016,10,51.44,116.61290322580645
Bengaluru,2016,11,49.40533333333334,110.7
Bengaluru,2016,12,41.31161290322581,115.38709677419355
Chennai,2016,1,55.90967741935484,143.83870967741936
Chennai,2016,2,72.56413793103448,155.41379310344828
Chennai,2016,3,70.68741935483871,155.06451612903226
Chennai,2016,4,59.27633333333333,133.16666666666666
Chennai,2016,5,56.55,129.25806451612902
Chennai,2016,6,45.95033333333333,93.83333333333333
Chennai,2016,7,39.79741935483871,91.93548387096774
Chennai,2016,8,35.06516129032258,134.74193548387098
Chennai,2016,9,31.98633333333333,184.93333333333334
Chennai,2016,10,64.2783870967742,150.03225806451613
Chennai,2016,11,70.29400000000001,140.93333333333334
Chennai,2016,12,55.210967741935484,99.87096774193549
Delhi,2016,1,258.5425806451613,441.9032258064516
Delhi,2016,2,144.99620689655174,312.44827586206895
Delhi,2016,3,94.92096774193548,230.09677419354838
Delhi,2016,4,119.04299999999999,290.6666666666667
Delhi,2016,5,92.86,268.35483870967744
Delhi,2016,6,80.087,243.73333333333332
Delhi,2016,7,56.01387096774194,164.90322580645162
Delhi,2016,8,45.64064516129032,147.41935483870967
Delhi,2016,9,64.58066666666667,218.7
Delhi,2016,10,167.8358064516129,411.06451612903226
Delhi,2016,11,306.019,474.8333333333333
Delhi,2016,12,232.42032258064515,409.2903225806452
Gurugram,2016,1,40.84322580645161,148.51612903225808
Gurugram,2016,2,125.64620689655172,234.41379310344828
Gurugram,2016,3,452.77838709677417,537.3548387096774
Gurugram,2016,4,102.15833333333333,269.46666666666664
Gurugram,2016,5,91.38225806451612,201.74193548387098
Gurugram,2016,6,91.29433333333333,190.43333333333334
Gurugram,2016,7,67.29903225806451,136.29032258064515
Gurugram,2016,8,39.78612903225807,89.06451612903226
Gurugram,2016,9,51.559666666666665,105.46666666666667
Gurugram,2016,10,103.55806451612904,177.6451612903226
Gurugram,2016,11,213.73999999999998,347.1
Gurugram,2016,12,227.10290322580644,380.1290322580645
Hyderabad,2016,1,78.08064516129032,170.5483870967742
Hyderabad,2016,2,87.32310344827586,148.44827586206895
Hyderabad,2016,3,56.6683870967742,118.3225806451613
Hyderabad,2016,4,47.519999999999996,109.73333333333333
Hyderabad,2016,5,38.54032258064516,104.48387096774194
Hyderabad,2016,6,61.764333333333326,139.03333333333333
Hyderabad,2016,7,47.34322580645161,156.2258064516129
Hyderabad,2016,8,8.971612903225807,122.64516129032258
Hyderabad,2016,9,21.613666666666667,71.66666666666667
Hyderabad,2016,10,43.95516129032258,91.7741935483871
Hyderabad,2016,11,62.721,125.16666666666667
Hyderabad,2016,12,59.08709677419355,112.45161290322581
Lucknow,2016,1,201.05548387096775,362.51612903225805
Lucknow,2016,2,163.29275862068965,322.3448275862069
Lucknow,2016,3,97.1116129032258,217.51612903225808
Lucknow,2016,4,103.27666666666667,238.63333333333333
Lucknow,2016,5,59.61,185.80645161290323
Lucknow,2016,6,77.44166666666666,153.06666666666666
Lucknow,2016,7,50.26741935483871,112.45161290322581
Lucknow,2016,8,37.35322580645161,90.64516129032258
Lucknow,2016,9,41.898,105.7
Lucknow,2016,10,124.07903225806452,245.03225806451613
Lucknow,2016,11,237.68566666666666,385.6333333333333
Lucknow,2016,12,234.7725806451613,389.3225806451613
Mumbai,2016,1,34.97,76.0
Mumbai,2016,2,34.97,76.0
Mumbai,2016,3,34.97,76.0
Mumbai,2016,4,34.97,76.0
Mumbai,2016,5,34.97,76.0
Mumbai,2016,6,34.97,76.0
Mumbai,2016,7,34.97,76.0
Mumbai,2016,8,34.97,76.0
Mumbai,2016,9,34.97,76.0
Mumbai,2016,10,34.97,76.0
Mumbai,2016,11,34.97,76.0
Mumbai,2016,12,34.97,76.0
Patna,2016,1,294.9829032258064,435.80645161290323
Patna,2016,2,183.50724137931036,317.0689655172414
Patna,2016,3,111.28774193548388,237.5483870967742
Patna,2016,4,78.65366666666667,185.1
Patna,2016,5,88.72612903225806,189.67741935483872
Patna,2016,6,64.49,146.96666666666667
Patna,2016,7,43.84483870967742,114.83870967741936
Patna,2016,8,51.05,125.25806451612904
Patna,2016,9,61.49433333333333,145.46666666666667
Patna,2016,10,138.6690322580645,261.5483870967742
Patna,2016,11,250.513,401.06666666666666
Patna,2016,12,257.6093548387097,403.0
Visakhapatnam,2016,7,30.826129032258066,90.83870967741936
Visakhapatnam,2016,8,26.998387096774195,88.87096774193549
Visakhapatnam,2016,9,36.732,94.0
Visakhapatnam,2016,10,57.056451612903224,109.45161290322581
Visakhapatnam,2016,11,60.434,115.1
Visakhapatnam,2016,12,59.66645161290323,117.35483870967742
