City,Year,Month,PM2.5,AQI
Ahmedabad,2018,1,88.85129032258064,708.5806451612904
Ahmedabad,2018,2,103.49142857142859,974.4285714285714
Ahmedabad,2018,3,97.91612903225807,781.2258064516129
Ahmedabad,2018,4,81.73166666666665,556.2666666666667
Ahmedabad,2018,5,53.55193548387097,328.1290322580645
Ahmedabad,2018,6,56.821000000000005,430.5
Ahmedabad,2018,7,57.57096774193548,453.80645161290323
Ahmedabad,2018,8,42.00709677419355,465.51612903225805
Ahmedabad,2018,9,26.382333333333335,545.8666666666667
Ahmedabad,2018,10,96.21129032258065,681.3870967741935
Ahmedabad,2018,11,102.15033333333334,955.3666666666667
Ahmedabad,2018,12,91.92064516129032,665.3870967741935
Amaravati,2018,1,78.15064516129033,172.4516129032258
Amaravati,2018,2,47.21785714285714,107.03571428571429
Amaravati,2018,3,37.59870967741935,79.96774193548387
Amaravati,2018,4,17.62933333333333,53.43333333333333
Amaravati,2018,5,22.34903225806452,86.3225806451613
Amaravati,2018,6,21.918,90.03333333333333
Amaravati,2018,7,16.359354838709677,65.3225806451613
Amaravati,2018,8,15.348387096774195,69.54838709677419
Amaravati,2018,9,26.775333333333332,79.5
Amaravati,2018,10,42.081935483870964,101.87096774193549
Amaravati,2018,11,47.35,117.53333333333333
Amaravati,2018,12,76.0641935483871,171.74193548387098
Amritsar,2018,1,79.85290322580646,182.80645161290323
Amritsar,2018,2,48.653214285714284,128.03571428571428
Amritsar,2018,3,42.48,95.51612903225806
Amritsar,2018,4,44.014,104.3
Amritsar,2018,5,68.65677419354839,148.32258064516128
Amritsar,2018,6,63.25666666666667,208.96666666666667
Amritsar,2018,7,28.901935483870968,66.6774193548387
Amritsar,2018,8,14.036129032258065,55.32258064516129
Amritsar,2018,9,19.92,57.9
Amritsar,2018,10,30.621290322580645,127.29032258064517
Amritsar,2018,11,58.74366666666666,140.06666666666666
Amritsar,2018,12,62.108064516129026,129.3548387096774
Bengaluru,2018,1,38.339354838709674,97.58064516129032
Bengaluru,2018,2,29.886428571428574,81.0
Bengaluru,2018,3,32.82258064516129,92.58064516129032
Bengaluru,2018,4,35.581,86.2
Bengaluru,2018,5,45.093548387096774,92.29032258064517
Bengaluru,2018,6,25.462333333333333,66.93333333333334
Bengaluru,2018,7,19.72774193548387,61.774193548387096
Bengaluru,2018,8,19.11935483870968,62.83870967741935
Bengaluru,2018,9,25.098333333333336,76.16666666666667
Bengaluru,2018,10,36.83354838709677,94.70967741935483
Bengaluru,2018,11,45.17466666666667,104.2
Bengaluru,2018,12,56.34870967741936,119.0
Brajrajnagar,2018,1,70.49,155.0
Brajrajnagar,2018,2,95.96321428571427,222.85714285714286
Brajrajnagar,2018,3,122.66225806451614,269.35483870967744
Brajrajnagar,2018,4,62.472,143.73333333333332
Brajrajnagar,2018,5,54.3458064516129,123.70967741935483
Brajrajnagar,2018,6,45.31433333333334,116.4
Brajrajnagar,2018,7,31.850645161290323,88.38709677419355
Brajrajnagar,2018,8,36.47225806451613,74.0
Brajrajnagar,2018,9,40.63,82.0
Brajrajnagar,2018,10,35.207741935483874,96.29032258064517
Brajrajnagar,2018,11,87.29299999999999,213.66666666666666
Brajrajnagar,2018,12,92.04645161290323,212.25806451612902
Chennai,2018,1,75.99,153.70967741935485
Chennai,2018,2,57.041428571428575,116.14285714285714
Chennai,2018,3,52.097096774193545,108.74193548387096
Chennai,2018,4,33.74166666666667,69.16666666666667
Chennai,2018,5,39.20483870967742,82.80645161290323
Chennai,2018,6,53.56666666666667,96.86666666666666
Chennai,2018,7,51.471935483870965,93.3225806451613
Chennai,2018,8,43.240645161290324,86.48387096774194
Chennai,2018,9,47.00466666666667,96.46666666666667
Chennai,2018,10,49.961290322580645,104.03225806451613
Chennai,2018,11,55.97633333333333,118.83333333333333
Chennai,2018,12,66.30064516129033,139.03225806451613
Delhi,2018,1,189.78548387096777,349.741935483871
Delhi,2018,2,137.8875,289.17857142857144
Delhi,2018,3,99.28580645161291,234.1290322580645
Delhi,2018,4,90.47166666666666,245.53333333333333
Delhi,2018,5,88.47548387096774,235.32258064516128
Delhi,2018,6,80.96233333333333,224.36666666666667
Delhi,2018,7,41.641935483870974,112.41935483870968
Delhi,2018,8,41.03741935483871,122.06451612903226
Delhi,2018,9,45.34733333333334,121.93333333333334
Delhi,2018,10,134.32064516129032,290.4193548387097
Delhi,2018,11,202.31733333333335,367.06666666666666
Delhi,2018,12,229.5909677419355,400.38709677419354
Gurugram,2018,1,185.19064516129032,343.4516129032258
Gurugram,2018,2,158.85964285714286,309.75
Gurugram,2018,3,78.97806451612904,188.90322580645162
Gurugram,2018,4,80.264,212.53333333333333
Gurugram,2018,5,108.46096774193548,214.5483870967742
Gurugram,2018,6,148.74833333333333,261.93333333333334
Gurugram,2018,7,55.31935483870968,105.09677419354838
Gurugram,2018,8,67.2709677419355,131.25806451612902
Gurugram,2018,9,67.63233333333334,140.56666666666666
Gurugram,2018,10,156.44516129032257,306.64516129032256
Gurugram,2018,11,166.34466666666668,324.7
Gurugram,2018,12,149.6458064516129,291.1290322580645
Hyderabad,2018,1,68.94258064516129,143.09677419354838
Hyderabad,2018,2,50.582142857142856,112.35714285714286
Hyderabad,2018,3,53.670967741935485,113.06451612903226
Hyderabad,2018,4,38.266666666666666,96.26666666666667
Hyderabad,2018,5,35.61774193548387,98.74193548387096
Hyderabad,2018,6,23.077333333333335,65.6
Hyderabad,2018,7,17.074193548387097,54.25806451612903
Hyderabad,2018,8,17.59935483870968,54.096774193548384
Hyderabad,2018,9,36.35066666666667,79.03333333333333
Hyderabad,2018,10,54.57677419354838,110.06451612903226
Hyderabad,2018,11,54.43833333333334,110.96666666666667
Hyderabad,2018,12,67.40870967741935,133.32258064516128
Jaipur,2018,1,82.18645161290321,190.29032258064515
Jaipur,2018,2,85.85285714285715,184.78571428571428
Jaipur,2018,3,47.31645161290322,124.03225806451613
Jaipur,2018,4,57.60766666666667,156.3
Jaipur,2018,5,63.77645161290322,172.2258064516129
Jaipur,2018,6,68.03633333333333,171.16666666666666
Jaipur,2018,7,47.20322580645161,110.03225806451613
Jaipur,2018,8,42.47548387096774,105.0
Jaipur,2018,9,39.815333333333335,99.0
Jaipur,2018,10,61.92225806451613,148.1290322580645
Jaipur,2018,11,74.41366666666666,178.13333333333333
Jaipur,2018,12,67.7490322580645,164.74193548387098
Jorapokhar,2018,1,58.79,154.5483870967742
Jorapokhar,2018,2,58.79,164.92857142857142
Jorapokhar,2018,3,58.79,156.96774193548387
Jorapokhar,2018,4,58.79,122.46666666666667
Jorapokhar,2018,5,58.79,128.0
Jorapokhar,2018,6,58.79,106.46666666666667
Jorapokhar,2018,7,58.79,87.93548387096774
Jorapokhar,2018,8,58.79,118.87096774193549
Jorapokhar,2018,9,58.79,82.4
Jorapokhar,2018,10,58.79,208.90322580645162
Jorapokhar,2018,11,58.79,349.3
Jorapokhar,2018,12,58.79,335.2258064516129
Kolkata,2018,4,25.138571428571428,73.38095238095238
Kolkata,2018,5,17.760967741935485,69.0
Kolkata,2018,6,19.410666666666664,72.16666666666667
Kolkata,2018,7,22.626774193548385,51.61290322580645
Kolkata,2018,8,21.254516129032258,70.3225806451613
Kolkata,2018,9,38.48233333333334,83.06666666666666
Kolkata,2018,10,68.92290322580645,163.06451612903226
Kolkata,2018,11,141.57066666666665,283.6666666666667
Kolkata,2018,12,182.72096774193548,338.258064516129
Lucknow,2018,1,220.85387096774195,377.96774193548384
Lucknow,2018,2,163.82392857142855,317.7142857142857
Lucknow,2018,3,111.30806451612904,236.48387096774192
Lucknow,2018,4,86.23033333333333,180.83333333333334
Lucknow,2018,5,128.24483870967742,255.6451612903226
Lucknow,2018,6,83.98466666666667,174.93333333333334
Lucknow,2018,7,38.542258064516126,97.41935483870968
Lucknow,2018,8,48.76870967741935,100.03225806451613
Lucknow,2018,9,49.23833333333334,107.6
Lucknow,2018,10,123.33322580645161,264.61290322580646
Lucknow,2018,11,194.26899999999998,351.6
Lucknow,2018,12,184.6225806451613,344.6774193548387
Mumbai,2018,1,34.97,76.0
Mumbai,2018,2,34.97,76.0
Mumbai,2018,3,34.97,76.0
Mumbai,2018,4,33.391666666666666,76.0
Mumbai,2018,5,21.451612903225808,79.16129032258064
Mumbai,2018,6,18.88566666666667,81.86666666666666
Mumbai,2018,7,16.25967741935484,69.48387096774194
Mumbai,2018,8,21.90032258064516,74.80645161290323
Mumbai,2018,9,28.953333333333333,87.23333333333333
Mumbai,2018,10,46.254516129032254,126.70967741935483
Mumbai,2018,11,61.23066666666667,154.06666666666666
Mumbai,2018,12,65.2258064516129,153.0
Patna,2018,1,213.791935483871,371.0
Patna,2018,2,148.98321428571427,310.35714285714283
Patna,2018,3,119.55354838709678,272.3225806451613
Patna,2018,4,89.74600000000001,202.4
Patna,2018,5,70.84322580645161,169.1290322580645
Patna,2018,6,66.68366666666667,147.46666666666667
Patna,2018,7,44.32064516129032,95.12903225806451
Patna,2018,8,53.44096774193549,103.70967741935483
Patna,2018,9,63.26233333333333,124.3
Patna,2018,10,108.05516129032259,249.90322580645162
Patna,2018,11,208.77766666666668,367.2
Patna,2018,12,262.22129032258067,404.51612903225805
Talcher,2018,1,16.7,24.0
Talcher,2018,2,133.63035714285715,268.14285714285717
Talcher,2018,3,151.35225806451612,302.1290322580645
Talcher,2018,4,56.724000000000004,134.56666666666666
Talcher,2018,5,51.30258064516129,114.2258064516129
Talcher,2018,6,47.49366666666666,123.26666666666667
Talcher,2018,7,21.437096774193545,114.25806451612904
Talcher,2018,8,22.19193548387097,92.35483870967742
Talcher,2018,9,11.4,58.3
Talcher,2018,10,31.160967741935483,66.80645161290323
Talcher,2018,11,80.52533333333332,305.0
Talcher,2018,12,88.49645161290321,276.19354838709677
Thiruvananthapuram,2018,1,67.95516129032258,137.25806451612902
Thiruvananthapuram,2018,2,49.25857142857143,94.21428571428571
Thiruvananthapuram,2018,3,37.95677419354839,85.41935483870968
Thiruvananthapuram,2018,4,26.426,78.93333333333334
Thiruvananthapuram,2018,5,18.990967741935485,64.2258064516129
Thiruvananthapuram,2018,6,14.549666666666667,55.5
Thiruvananthapuram,2018,7,15.42483870967742,53.41935483870968
Thiruvananthapuram,2018,8,12.80516129032258,76.64516129032258
Thiruvananthapuram,2018,9,20.308333333333334,59.93333333333333
Thiruvananthapuram,2018,10,28.350322580645162,71.74193548387096
Thiruvananthapuram,2018,11,44.806333333333335,97.2
Thiruvananthapuram,2018,12,57.62870967741936,125.35483870967742
Visakhapatnam,2018,1,99.72870967741936,223.8709677419355
Visakhapatnam,2018,2,67.35178571428571,151.39285714285714
Visakhapatnam,2018,3,51.62064516129032,115.90322580645162
Visakhapatnam,2018,4,24.72233333333333,75.26666666666667
Visakhapatnam,2018,5,21.320645161290326,80.54838709677419
Visakhapatnam,2018,6,36.213,105.6
Visakhapatnam,2018,7,33.46774193548387,92.35483870967742
Visakhapatnam,2018,8,40.075161290322576,91.45161290322581
Visakhapatnam,2018,9,44.924,104.73333333333333
Visakhapatnam,2018,10,63.627741935483876,141.61290322580646
Visakhapatnam,2018,11,52.89533333333333,112.6
Visakhapatnam,2018,12,74.08387096774193,168.41935483870967
