City,Year,Month,PM2.5,AQI
Ahmedabad,2017,1,176.02,361.0
Ahmedabad,2017,2,176.02,361.0
Ahmedabad,2017,3,176.02,361.0
Ahmedabad,2017,4,176.02,361.0
Ahmedabad,2017,5,176.02,361.0
Ahmedabad,2017,6,176.02,361.0
Ahmedabad,2017,7,176.02,361.0
Ahmedabad,2017,8,176.02,361.0
Ahmedabad,2017,9,176.02,361.0
Ahmedabad,2017,10,107.44548387096773,402.2258064516129
Ahmedabad,2017,11,104.18933333333332,764.1
Ahmedabad,2017,12,74.24161290322581,371.80645161290323
Amaravati,2017,11,75.1842857142857,160.71428571428572
Amaravati,2017,12,85.99806451612903,194.1290322580645
Amritsar,2017,2,12.934999999999999,53.0
Amritsar,2017,3,48.898387096774194,89.93548387096774
Amritsar,2017,4,35.24533333333333,62.86666666666667
Amritsar,2017,5,159.61870967741933,119.3225806451613
Amritsar,2017,6,41.220333333333336,90.76666666666667
Amritsar,2017,7,47.310967741935485,99.64516129032258
Amritsar,2017,8,34.87129032258064,109.7741935483871
Amritsar,2017,9,53.974666666666664,150.7
Amritsar,2017,10,101.36129032258064,268.51612903225805
Amritsar,2017,11,124.75566666666667,282.2
Amritsar,2017,12,96.09354838709677,219.70967741935485
Bengaluru,2017,1,34.200645161290325,114.61290322580645
Bengaluru,2017,2,38.542500000000004,119.17857142857143
Bengaluru,2017,3,37.07354838709677,81.19354838709677
Bengaluru,2017,4,35.88766666666666,92.0
Bengaluru,2017,5,29.57967741935484,66.96774193548387
Bengaluru,2017,6,23.721999999999998,59.7
Bengaluru,2017,7,34.25838709677419,94.3225806451613
Bengaluru,2017,8,20.824193548387097,83.0
Bengaluru,2017,9,25.896,72.46666666666667
Bengaluru,2017,10,39.63290322580645,89.6774193548387
Bengaluru,2017,11,38.007,77.23333333333333
Bengaluru,2017,12,66.63451612903226,96.6774193548387
Brajrajnagar,2017,12,89.74600000000001,191.32
Chennai,2017,1,69.23096774193547,124.41935483870968
Chennai,2017,2,62.58142857142857,120.35714285714286
Chennai,2017,3,60.38225806451613,110.64516129032258
Chennai,2017,4,56.89233333333333,105.6
Chennai,2017,5,57.36354838709677,121.58064516129032
Chennai,2017,6,45.416666666666664,80.76666666666667
Chennai,2017,7,53.98290322580645,102.0
Chennai,2017,8,42.15354838709678,93.58064516129032
Chennai,2017,9,40.317,88.43333333333334
Chennai,2017,10,50.24354838709677,104.87096774193549
Chennai,2017,11,43.467666666666666,92.13333333333334
Chennai,2017,12,55.69935483870968,106.41935483870968
Delhi,2017,1,199.4341935483871,354.19354838709677
Delhi,2017,2,171.8725,343.92857142857144
Delhi,2017,3,109.24096774193548,282.258064516129
Delhi,2017,4,117.26533333333333,316.8
Delhi,2017,5,129.61806451612904,315.4193548387097
Delhi,2017,6,61.49933333333333,144.06666666666666
Delhi,2017,7,34.72129032258065,67.16129032258064
Delhi,2017,8,36.410000000000004,69.70967741935483
Delhi,2017,9,52.441,114.66666666666667
Delhi,2017,10,146.69516129032257,284.16129032258067
Delhi,2017,11,249.79,406.73333333333335
Delhi,2017,12,189.34129032258065,337.1290322580645
Gurugram,2017,1,223.46129032258065,382.5483870967742
Gurugram,2017,2,152.94107142857143,309.2142857142857
Gurugram,2017,3,94.38032258064516,218.19354838709677
Gurugram,2017,4,167.19133333333332,315.56666666666666
Gurugram,2017,5,190.06225806451613,349.7096774193548
Gurugram,2017,6,189.93466666666666,336.56666666666666
Gurugram,2017,7,252.54387096774192,349.96774193548384
Gurugram,2017,8,97.94709677419355,142.48387096774192
Gurugram,2017,9,69.53333333333333,144.93333333333334
Gurugram,2017,10,119.49838709677418,251.51612903225808
Gurugram,2017,11,214.25633333333334,372.8
Gurugram,2017,12,149.92387096774195,296.7096774193548
Hyderabad,2017,1,73.02677419354839,149.41935483870967
Hyderabad,2017,2,64.37,148.14285714285714
Hyderabad,2017,3,49.39612903225807,135.0
Hyderabad,2017,4,58.174,148.16666666666666
Hyderabad,2017,5,35.053225806451614,113.19354838709677
Hyderabad,2017,6,11.635333333333334,74.13333333333334
Hyderabad,2017,7,13.648064516129033,61.58064516129032
Hyderabad,2017,8,16.483548387096775,64.41935483870968
Hyderabad,2017,9,24.609666666666666,68.8
Hyderabad,2017,10,51.243870967741934,121.38709677419355
Hyderabad,2017,11,56.208333333333336,120.36666666666666
Hyderabad,2017,12,72.11677419354838,143.74193548387098
Jaipur,2017,6,37.95823529411764,70.58823529411765
Jaipur,2017,7,37.222903225806455,82.6774193548387
Jaipur,2017,8,41.66967741935484,111.06451612903226
Jaipur,2017,9,38.697,125.2
Jaipur,2017,10,91.89838709677419,212.74193548387098
Jaipur,2017,11,110.87566666666666,239.6
Jaipur,2017,12,78.20774193548387,168.38709677419354
Jorapokhar,2017,4,58.78999999999999,148.72727272727272
Jorapokhar,2017,5,58.79,117.19354838709677
Jorapokhar,2017,6,58.79,117.6
Jorapokhar,2017,7,58.79,88.64516129032258
Jorapokhar,2017,8,58.79,76.38709677419355
Jorapokhar,2017,9,58.79,85.0
Jorapokhar,2017,10,58.79,85.0
Jorapokhar,2017,11,58.79,85.0
Jorapokhar,2017,12,58.79,112.7741935483871
Lucknow,2017,1,177.98161290322582,330.5806451612903
Lucknow,2017,2,140.6942857142857,296.39285714285717
Lucknow,2017,3,112.47258064516129,247.06451612903226
Lucknow,2017,4,104.35300000000001,249.5
Lucknow,2017,5,116.95032258064516,252.2258064516129
Lucknow,2017,6,95.959,186.03333333333333
Lucknow,2017,7,37.689677419354844,77.29032258064517
Lucknow,2017,8,45.780967741935484,96.45161290322581
Lucknow,2017,9,50.29933333333334,105.86666666666666
Lucknow,2017,10,133.5125806451613,259.06451612903226
Lucknow,2017,11,231.42000000000002,383.1333333333333
Lucknow,2017,12,220.0583870967742,374.48387096774195
Mumbai,2017,1,34.97,76.0
Mumbai,2017,2,34.97,76.0
Mumbai,2017,3,34.97,76.0
Mumbai,2017,4,34.97,76.0
Mumbai,2017,5,34.97,76.0
Mumbai,2017,6,34.97,76.0
Mumbai,2017,7,34.97,76.0
Mumbai,2017,8,34.97,76.0
Mumbai,2017,9,34.97,76.0
Mumbai,2017,10,34.97,76.0
Mumbai,2017,11,34.97,76.0
Mumbai,2017,12,34.97,76.0
Patna,2017,1,205.73999999999998,356.9032258064516
Patna,2017,2,149.5453571428571,299.42857142857144
Patna,2017,3,122.63612903225805,261.61290322580646
Patna,2017,4,115.72733333333333,256.26666666666665
Patna,2017,5,106.25,261.0
Patna,2017,6,106.25,261.0
Patna,2017,7,106.25,261.0
Patna,2017,8,106.25,261.0
Patna,2017,9,99.106,261.0
Patna,2017,10,85.87387096774194,201.29032258064515
Patna,2017,11,195.30966666666666,330.3
Patna,2017,12,255.9058064516129,407.61290322580646
Talcher,2017,12,16.7,24.0
Thiruvananthapuram,2017,6,20.582,70.46666666666667
Thiruvananthapuram,2017,7,16.65064516129032,48.064516129032256
Thiruvananthapuram,2017,8,16.66741935483871,61.903225806451616
Thiruvananthapuram,2017,9,14.026666666666667,59.36666666666667
Thiruvananthapuram,2017,10,18.48709677419355,37.16129032258065
Thiruvananthapuram,2017,11,37.861666666666665,88.86666666666666
Thiruvananthapuram,2017,12,43.36677419354838,91.19354838709677
Visakhapatnam,2017,1,68.47225806451613,139.5483870967742
Visakhapatnam,2017,2,75.55535714285715,174.14285714285714
Visakhapatnam,2017,3,41.8358064516129,121.54838709677419
Visakhapatnam,2017,4,31.558666666666667,128.63333333333333
Visakhapatnam,2017,5,28.6,131.0
Visakhapatnam,2017,6,28.6,131.0
Visakhapatnam,2017,7,28.6,131.0
Visakhapatnam,2017,8,28.6,131.0
Visakhapatnam,2017,9,28.6,131.0
Visakhapatnam,2017,10,20.940322580645162,130.51612903225808
Visakhapatnam,2017,11,41.586,110.3
Visakhapatnam,2017,12,80.35387096774194,175.03225806451613
