City,Year,Month,PM2.5,AQI
Ahmedabad,2020,1,54.211612903225806,318.48387096774195
Ahmedabad,2020,2,73.89068965517241,547.6896551724138
Ahmedabad,2020,3,45.255806451612905,300.38709677419354
Ahmedabad,2020,4,31.055666666666664,120.73333333333333
Ahmedabad,2020,5,26.304516129032258,128.67741935483872
Ahmedabad,2020,6,33.64,99.1
Ahmedabad,2020,7,37.63,119.0
Aizawl,2020,3,38.94380952380953,67.9047619047619
Aizawl,2020,4,20.974666666666668,39.233333333333334
Aizawl,2020,5,11.48967741935484,24.193548387096776
Aizawl,2020,6,3.2126666666666663,20.8
Aizawl,2020,7,4.49,20.0
Amaravati,2020,1,47.41645161290323,88.03225806451613
Amaravati,2020,2,34.742413793103445,67.10344827586206
Amaravati,2020,3,22.588387096774195,52.54838709677419
Amaravati,2020,4,17.544666666666668,44.4
Amaravati,2020,5,21.135806451612904,59.096774193548384
Amaravati,2020,6,12.155666666666667,47.86666666666667
Amaravati,2020,7,22.0,54.0
Amritsar,2020,1,51.18096774193548,104.80645161290323
Amritsar,2020,2,53.716206896551725,128.6206896551724
Amritsar,2020,3,27.84935483870968,84.48387096774194
Amritsar,2020,4,21.226,58.96666666666667
Amritsar,2020,5,33.91161290322581,77.6774193548387
Amritsar,2020,6,34.467666666666666,101.53333333333333
Amritsar,2020,7,57.67,78.0
Bengaluru,2020,1,39.31322580645161,95.3225806451613
Bengaluru,2020,2,41.60724137931034,96.48275862068965
Bengaluru,2020,3,38.193225806451615,90.74193548387096
Bengaluru,2020,4,24.93166666666667,68.53333333333333
Bengaluru,2020,5,21.26967741935484,73.16129032258064
Bengaluru,2020,6,18.03533333333333,55.166666666666664
Bengaluru,2020,7,17.5,43.0
Bhopal,2020,1,72.61548387096774,160.51612903225808
Bhopal,2020,2,51.250344827586204,128.6206896551724
Bhopal,2020,3,31.106129032258064,102.6774193548387
Bhopal,2020,4,37.97233333333334,95.86666666666666
Bhopal,2020,5,21.846129032258066,104.45161290322581
Bhopal,2020,6,16.442666666666668,71.66666666666667
Bhopal,2020,7,14.0,69.0
Brajrajnagar,2020,1,71.78516129032259,156.8709677419355
Brajrajnagar,2020,2,68.1651724137931,139.10344827586206
Brajrajnagar,2020,3,59.773870967741935,109.80645161290323
Brajrajnagar,2020,4,63.08533333333333,135.06666666666666
Brajrajnagar,2020,5,53.4558064516129,124.12903225806451
Brajrajnagar,2020,6,67.69266666666667,95.96666666666667
Brajrajnagar,2020,7,29.21,76.0
Chandigarh,2020,1,45.361612903225804,94.06451612903226
Chandigarh,2020,2,42.32206896551724,93.37931034482759
Chandigarh,2020,3,19.636129032258065,55.41935483870968
Chandigarh,2020,4,14.349333333333334,45.56666666666667
Chandigarh,2020,5,21.161935483870966,74.12903225806451
Chandigarh,2020,6,23.560333333333332,66.5
Chandigarh,2020,7,32.9,66.0
Chennai,2020,1,44.229677419354836,87.51612903225806
Chennai,2020,2,37.013448275862075,78.13793103448276
Chennai,2020,3,31.876774193548385,70.29032258064517
Chennai,2020,4,15.453333333333335,63.5
