year,temperature_anomaly,risk_score,sustainability_score,environmental_health_index
1880,-0.18,39.823243875484806,60.176756124515194,60.176756124515194
1881,-0.09,39.823243875484806,60.176756124515194,60.176756124515194
1882,-0.11,39.823243875484806,60.176756124515194,60.176756124515194
1883,-0.17,39.823243875484806,60.176756124515194,60.176756124515194
1884,-0.28,39.823243875484806,60.176756124515194,60.176756124515194
1885,-0.34,39.823243875484806,60.176756124515194,60.176756124515194
1886,-0.32,39.823243875484806,60.176756124515194,60.176756124515194
1887,-0.37,39.823243875484806,60.176756124515194,60.176756124515194
1888,-0.18,39.823243875484806,60.176756124515194,60.176756124515194
1889,-0.11,39.823243875484806,60.176756124515194,60.176756124515194
1890,-0.36,39.823243875484806,60.176756124515194,60.176756124515194
1891,-0.22,39.823243875484806,60.176756124515194,60.176756124515194
1892,-0.27,39.823243875484806,60.176756124515194,60.176756124515194
1893,-0.31,39.823243875484806,60.176756124515194,60.176756124515194
1894,-0.31,39.823243875484806,60.176756124515194,60.176756124515194
1895,-0.23,39.823243875484806,60.176756124515194,60.176756124515194
1896,-0.12,39.823243875484806,60.176756124515194,60.176756124515194
1897,-0.11,39.823243875484806,60.176756124515194,60.176756124515194
1898,-0.28,39.823243875484806,60.176756124515194,60.176756124515194
1899,-0.18,39.823243875484806,60.176756124515194,60.176756124515194
1900,-0.09,39.823243875484806,60.176756124515194,60.176756124515194
1901,-0.16,39.823243875484806,60.176756124515194,60.176756124515194
1902,-0.28,39.823243875484806,60.176756124515194,60.176756124515194
1903,-0.37,39.823243875484806,60.176756124515194,60.176756124515194
1904,-0.47,39.823243875484806,60.176756124515194,60.176756124515194
1905,-0.26,39.823243875484806,60.176756124515194,60.176756124515194
1906,-0.22,39.823243875484806,60.176756124515194,60.176756124515194
1907,-0.39,39.823243875484806,60.176756124515194,60.176756124515194
1908,-0.43,39.823243875484806,60.176756124515194,60.176756124515194
1909,-0.49,39.823243875484806,60.176756124515194,60.176756124515194
1910,-0.44,39.823243875484806,60.176756124515194,60.176756124515194
1911,-0.45,39.823243875484806,60.176756124515194,60.176756124515194
1912,-0.37,39.823243875484806,60.176756124515194,60.176756124515194
1913,-0.35,39.823243875484806,60.176756124515194,60.176756124515194
1914,-0.15,39.823243875484806,60.176756124515194,60.176756124515194
1915,-0.14,39.823243875484806,60.176756124515194,60.176756124515194
1916,-0.36,39.823243875484806,60.176756124515194,60.176756124515194
1917,-0.46,39.823243875484806,60.176756124515194,60.176756124515194
1918,-0.3,39.823243875484806,60.176756124515194,60.176756124515194
1919,-0.28,39.823243875484806,60.176756124515194,60.176756124515194
1920,-0.28,39.823243875484806,60.176756124515194,60.176756124515194
1921,-0.19,39.823243875484806,60.176756124515194,60.176756124515194
1922,-0.28,39.823243875484806,60.176756124515194,60.176756124515194
1923,-0.27,39.823243875484806,60.176756124515194,60.176756124515194
1924,-0.27,39.823243875484806,60.176756124515194,60.176756124515194
