year,predicted_temperature,lower_bound,upper_bound
2026,0.6917864903164883,0.623605944084354,0.7599670365486226
2027,0.7000812277674413,0.631900681535307,0.7682617739995756
2028,0.7083759652183979,0.6401954189862635,0.7765565114505322
2029,0.7166707026693544,0.6484901564372201,0.7848512489014887
2030,0.7249654401203109,0.6567848938881766,0.7931459863524453
