year,aqi,pm2.5,pm10,no2,so2,o3,pollution_exposure_index,pollution_risk_category
2015,212.4630541871921,83.32375,186.0181640625,23.729427238014427,13.513310315062581,32.919829059829055,139.95993505618844,High
2016,197.150019432569,92.22372919818457,145.50015557476232,31.362461710870377,10.063124312431244,38.12191586998088,129.19191515803476,High
2017,181.47278911564626,86.03475713418337,129.08261963492848,31.963634238971665,12.225969924812029,34.409824508320725,118.03672228069948,High
2018,182.68431167016072,69.23065701357466,133.26300117233293,33.353737493640836,18.17101552957599,35.22174193548387,111.13109119251936,High
2019,156.51817281855466,58.958241311659194,112.9643354481861,28.49753623188406,16.353350660297835,33.05142044666389,94.67205585399635,Moderate
2020,113.52069667496042,43.91088878963823,89.76923418164837,20.50508605072464,11.929246467817897,34.641542392566784,71.59035398430572,Moderate
